id,year,annual_inc,income_cat,loan_amount,recoveries
1068111,2011,41000,1,11100,626.5
1067655,2011,56000,1,10000,0
1060662,2011,26500,1,6200,0
1061304,2011,54000,1,15000,0
1068095,2011,53000,1,4200,0
1067182,2011,52800,1,14000,0
822464,2011,38000,1,8875,0
1063526,2011,38000,1,13500,0
1068091,2011,42000,1,12000,414.89
1068090,2011,55000,1,16000,0
1068082,2011,60000,1,21600,0
1068078,2011,87000,1,6000,0
1057633,2011,25000,1,8450,0
1046204,2011,82000,1,20000,0
1067794,2011,60000,1,10000,319.46
1067816,2011,80000,1,12000,0
1068018,2011,25000,1,13475,0
1052996,2011,48000,1,7200,0
1067818,2011,85000,1,5600,0
1064842,2011,57000,1,12000,0
1067109,2011,25000,1,8500,0
1067971,2011,34000,1,8000,0
1057518,2011,40000,1,8000,0
1067473,2011,42656,1,16000,0
1062177,2011,44400,1,15000,0
1067447,2011,30000,1,10000,0
1059412,2011,70000,1,10000,0
1062608,2011,28000,1,8000,0
1067664,2011,50000,1,22000,0
1067441,2011,94800,1,6000,0
1067654,2011,40000,1,16000,0
1067644,2011,12000,1,2500,10.08
1062288,2011,36000,1,13500,0
1067434,2011,225000,3,25000,0
1067419,2011,45900,1,10000,0
1067601,2011,27200,1,2500,0
1067579,2011,42000,1,7325,0
1067563,2011,135000,2,4000,0
1067364,2011,65000,1,10000,459.53
1067152,2011,24000,1,7750,11.91
1062471,2011,70000,1,20000,1073.61
1066842,2011,65000,1,9600,0
1067126,2011,60000,1,21000,0
1067326,2011,30000,1,14000,0
1066789,2011,43000,1,13350,0
1067324,2011,42000,1,15000,1084.71
1067102,2011,75000,1,15000,15.16
1046969,2011,129000,2,11000,0
1067084,2011,168000,2,35000,0
1067090,2011,74000,1,9000,0
1060875,2011,52000,1,22475,0
1067265,2011,58500,1,16000,10.47
1067287,2011,71000,1,13500,0
1067066,2011,75000,1,24000,0
1067283,2011,60000,1,12000,0
1067266,2011,87996,1,8400,0
1066635,2011,140000,2,28000,0
1067026,2011,66000,1,14000,0
1067038,2011,70000,1,12000,543.42
1067030,2011,100000,1,25000,0
1065350,2011,50000,1,9000,0
1067028,2011,35000,1,13250,0
1061877,2011,75000,1,20000,0
1067018,2011,71000,1,3000,0
1067223,2011,48000,1,7350,0
1067004,2011,36000,1,11500,0
1031265,2011,86000,1,13650,460.64
1066835,2011,30000,1,10500,0
1067181,2011,60000,1,12000,0
1067179,2011,34000,1,6000,0
1067172,2011,44200,1,11500,0
1066712,2011,82000,1,7000,0
1066706,2011,83000,1,29500,0
1066836,2011,41000,1,2000,0
1066826,2011,36000,1,11625,0
1063280,2011,35000,1,15075,519.28
1057447,2011,30000,1,5300,0
1040867,2011,40000,1,8200,0
1065232,2011,105000,2,12000,0
1052492,2011,45000,1,8650,0
1066664,2011,109000,2,21000,0
1066659,2011,50000,1,16000,0
1066763,2011,83000,1,12000,0
1066798,2011,52500,1,9500,0
1066639,2011,25000,1,7400,0
1066633,2011,60000,1,14400,0
1060644,2011,120000,2,24250,0
1066766,2011,68000,1,7200,64.1
1066613,2011,53000,1,26000,1284.25
1065648,2011,69600,1,7000,883.68
1066768,2011,65000,1,4000,0
1066617,2011,144000,2,1500,0
1062015,2011,75000,1,19600,0
1066598,2011,29000,1,2500,0
1066503,2011,70000,1,10000,333.11
1066530,2011,45000,1,10000,0
1066520,2011,55200,1,4225,0
1065929,2011,61440,1,3500,0
1066582,2011,56000,1,12000,0
1066348,2011,47000,1,16500,0
1061430,2011,55000,1,22000,0
1061519,2011,71000,1,12000,0
1066344,2011,50000,1,15600,0
1066480,2011,135000,2,10800,0
1066471,2011,63000,1,14000,0
1064063,2011,44000,1,18825,0
1066318,2011,50000,1,6000,0
1066453,2011,80000,1,12000,0
1063090,2011,45000,1,10000,0
1061406,2011,78000,1,8000,0
1066278,2011,33000,1,14125,0
1066281,2011,62800,1,14000,0
1056150,2011,26400,1,13200,0
1066434,2011,80000,1,4000,0
1048526,2011,25000,1,4000,150.58
1028566,2011,65000,1,10500,0
1066424,2011,59000,1,5500,0
1066212,2011,33000,1,7350,0
1066232,2011,39000,1,10000,12.02
1056219,2011,42000,1,12000,0
1066199,2011,38004,1,5000,0
1060851,2011,31000,1,8000,0
972383,2011,50700,1,4500,0
1066191,2011,75000,1,18000,0
1066173,2011,30000,1,12300,0
1066379,2011,40000,1,12000,0
1066364,2011,50000,1,10000,0
1066140,2011,80000,1,6000,0
1066171,2011,40000,1,12000,0
1066162,2011,80000,1,12000,516.32
1040154,2011,75000,1,7000,0
1066155,2011,85000,1,35000,0
1065382,2011,28800,1,1400,0
1063447,2011,35000,1,16000,1517.32
1065932,2011,61200,1,3200,0
1065936,2011,40000,1,8000,0
1066112,2011,25920,1,11875,651.01
1066084,2011,54000,1,5000,0
1066081,2011,18000,1,1800,0
1065896,2011,85000,1,35000,0
1066065,2011,78000,1,18000,0
1066071,2011,45600,1,14000,0
1062094,2011,70000,1,5000,0
1061154,2011,70000,1,8000,0
1066061,2011,80000,1,10000,0
1065863,2011,50000,1,10000,0
1065862,2011,35000,1,12000,0
1065854,2011,65000,1,23200,0
1065145,2011,84000,1,18000,0
1062260,2011,75000,1,4800,0
1065842,2011,35000,1,7300,0
1066018,2011,40000,1,10400,0
1049352,2011,100000,1,6600,0
1066016,2011,40000,1,12000,0
1065997,2011,52000,1,13250,0
1061891,2011,92500,1,12000,0
1065752,2011,61000,1,25000,0
1063126,2011,36000,1,6000,0
1065738,2011,68000,1,12000,0
1061467,2011,80000,1,14400,0
1065721,2011,43000,1,10000,0
1065717,2011,150000,2,8000,0
1065026,2011,50000,1,8000,298.32
1057001,2011,70000,1,30000,3001.66
1065513,2011,40000,1,18000,1899.49
1065698,2011,35000,1,13250,0
1065681,2011,80000,1,14000,0
1061788,2011,59000,1,20000,1954.88
1065484,2011,40000,1,10000,0
1061681,2011,85000,1,35000,0
1065661,2011,55000,1,4000,0
1065663,2011,110000,2,13000,0
1065480,2011,100000,1,28000,0
1065658,2011,62000,1,10000,0
1065447,2011,45000,1,20000,0
1065470,2011,110000,2,18000,0
1065467,2011,60000,1,9000,0
1065649,2011,61500,1,25000,17.68
1065430,2011,33000,1,10000,0
1059462,2011,61000,1,4200,0
1064102,2011,78216,1,20000,1024.88
1062399,2011,62000,1,18000,0
1065572,2011,50964,1,24000,0
1065567,2011,43680,1,4475,0
1065342,2011,56000,1,20000,0
1065355,2011,50700,1,12000,0
1058717,2011,60000,1,18000,0
1065348,2011,30000,1,5000,0
890389,2011,50000,1,3000,0
1065142,2011,75000,1,25000,0
1065320,2011,90000,1,18000,0
1065304,2011,55000,1,12000,444.88
1065180,2011,50000,1,20000,0
1065298,2011,84000,1,10000,0
1064904,2011,155000,2,15000,0
1064696,2011,62000,1,12000,0
977277,2011,175000,2,20000,0
1065260,2011,30000,1,6300,0
1059734,2011,50000,1,20000,0
1065110,2011,208000,3,35000,0
1047987,2011,35004,1,8250,0
1065104,2011,85000,1,20000,0
1065103,2011,32000,1,10000,308.22
1065254,2011,116400,2,24000,1032.31
1064873,2011,40000,1,14400,0
1065244,2011,34000,1,6000,0
1064969,2011,73000,1,22000,0
1059620,2011,57200,1,12000,0
1032978,2011,114000,2,16000,0
1065234,2011,90000,1,10000,0
1064958,2011,54000,1,16000,0
1065196,2011,35000,1,10000,660.29
1065199,2011,56000,1,3500,0
1065195,2011,35000,1,9600,0
1065020,2011,40000,1,9875,0
1065016,2011,59000,1,21500,0
1064924,2011,48000,1,4800,0
1064940,2011,85000,1,7800,0
1064932,2011,70000,1,20000,0
1062248,2011,35000,1,9750,0
1064985,2011,91000,1,18000,0
1064926,2011,30000,1,5000,0
1064908,2011,45000,1,9000,0
1059118,2011,55000,1,7200,0
1064897,2011,53004,1,3000,0
1064754,2011,60000,1,25000,3842.06
1060082,2011,82000,1,25000,0
1064736,2011,53000,1,10000,0
1064727,2011,35360,1,8875,266.46
1042668,2011,54000,1,15550,0
1064862,2011,65000,1,17000,0
1064711,2011,65000,1,7500,0
1032875,2011,28800,1,8875,0
1064830,2011,42000,1,4500,0
1064681,2011,36000,1,5800,0
1064383,2011,40000,1,10000,0
1064675,2011,50000,1,10000,0
1064666,2011,52000,1,14000,0
1064639,2011,85000,1,25000,0
1064636,2011,32000,1,12000,745.46
1064805,2011,75000,1,24000,0
1064635,2011,80000,1,14000,0
1064793,2011,40246,1,12000,0
1056865,2011,30000,1,15000,1434.48
1064783,2011,36000,1,8050,254.92
1064623,2011,60000,1,5600,0
1064792,2011,31200,1,7500,0
1062701,2011,90000,1,7000,0
1064781,2011,40000,1,5400,0
1064774,2011,90000,1,16000,0
1053765,2011,105000,2,35000,0
1064608,2011,30084,1,6000,526.45
1064589,2011,36000,1,4125,0
1064558,2011,67000,1,9800,0
1064585,2011,63000,1,15700,0
1064548,2011,276000,3,5000,0
1064462,2011,26400,1,9900,0
1064582,2011,24000,1,4000,0
1064579,2011,68400,1,15000,0
1046511,2011,29120,1,6250,0
1029191,2011,29120,1,6400,0
1064527,2011,89122,1,8850,0
1064567,2011,54000,1,12000,0
1064500,2011,30000,1,15000,0
1063899,2011,30000,1,6500,0
1057598,2011,50000,1,8000,0
1052002,2011,92000,1,30000,0
1064323,2011,100500,2,15000,0
1064317,2011,40000,1,10200,0
1064471,2011,47000,1,9000,0
1060374,2011,68000,1,6500,0
1064452,2011,95000,1,23000,0
1064453,2011,39600,1,2000,0
1064284,2011,30000,1,8000,0
1063081,2011,30000,1,8875,0
1064251,2011,17000,1,1500,68.75
1064407,2011,42000,1,8000,0
1035800,2011,75000,1,20000,0
1063678,2011,42000,1,6500,0
1059751,2011,27000,1,9600,0
1064386,2011,130000,2,25975,0
1055800,2011,46000,1,10000,0
1064221,2011,80000,1,15000,0
1064210,2011,45000,1,9000,0
1064209,2011,72500,1,10000,0
1064366,2011,18408,1,1000,56.89
1064216,2011,30000,1,14000,0
1064150,2011,50000,1,8500,408.75
1056864,2011,75000,1,15000,0
1064146,2011,65000,1,4500,0
1064183,2011,65000,1,3000,0
1064185,2011,120000,2,10000,0
1064126,2011,42500,1,21250,0
1029473,2011,75000,1,33425,10.66
1057239,2011,195000,2,35000,0
1064128,2011,54990,1,7200,0
1063949,2011,40000,1,18000,1711.17
1064166,2011,137000,2,23000,0
1064133,2011,60000,1,20000,1525.73
1064094,2011,30120,1,6000,0
1063505,2011,46000,1,7000,0
1063528,2011,135000,2,21000,0
1063912,2011,31500,1,8250,0
1064082,2011,65000,1,13000,0
1063892,2011,78000,1,18000,0
1064061,2011,60000,1,7200,0
1063876,2011,48000,1,16500,0
1042841,2011,25000,1,8125,0
1063864,2011,82000,1,18800,0
1064051,2011,82000,1,26800,0
1063847,2011,42000,1,19200,0
1062833,2011,27600,1,12875,0
1062032,2011,38000,1,4000,0
1063843,2011,35000,1,4000,0
1063828,2011,33000,1,12000,0
1064006,2011,52800,1,2625,0
1063729,2011,40900,1,18000,0
1062625,2011,73882,1,7000,0
1062070,2011,36000,1,11300,0
1063964,2011,130000,2,4000,0
1063804,2011,57200,1,8000,0
1063751,2011,51871,1,14400,571.11
1063982,2011,15000,1,4375,0
1063972,2011,70197,1,4100,0
1063785,2011,47000,1,6000,0
1063788,2011,43000,1,4200,10.92
1063485,2011,120000,2,4000,0
1063781,2011,86004,1,3000,189.44
1057766,2011,75000,1,5400,0
1063778,2011,110000,2,15000,815.11
1062818,2011,80000,1,20000,0
1042037,2011,44000,1,10400,0
1063518,2011,51600,1,4500,0
1063515,2011,38500,1,11500,0
1063524,2011,75000,1,10000,0
1063519,2011,37320,1,18225,0
1063521,2011,55000,1,3600,0
984879,2011,100000,1,18500,0
1063509,2011,70000,1,16800,0
1063693,2011,68000,1,10000,14.7
1063700,2011,66000,1,15000,0
1056934,2011,85000,1,8000,0
1063246,2011,83004,1,25000,0
1057424,2011,51000,1,16000,916.96
1063680,2011,55000,1,8000,0
1063679,2011,47000,1,7200,0
1063034,2011,86000,1,12000,0
1063448,2011,48000,1,2200,1758.08
1063431,2011,49000,1,20000,0
1060804,2011,85000,1,28000,0
1027771,2011,50000,1,6000,0
1063653,2011,105000,2,25000,0
1063421,2011,51204,1,8000,0
1062855,2011,42996,1,14400,0
1062490,2011,60000,1,20000,0
1063626,2011,85000,1,25000,0
1063407,2011,120000,2,14050,0
1063609,2011,62691,1,6000,0
1063602,2011,36000,1,16100,0
1063393,2011,85000,1,35000,0
1063388,2011,49668,1,10525,0
1063582,2011,30000,1,7200,0
988402,2011,40000,1,18500,0
1063564,2011,40000,1,12000,0
1063121,2011,100000,1,12000,0
1063275,2011,56312,1,3000,0
1057756,2011,54011,1,9500,0
1059960,2011,49110,1,19775,0
1059525,2011,75000,1,12000,1180.34
1062577,2011,95000,1,28000,0
1053188,2011,80000,1,30000,0
1063098,2011,55000,1,16000,0
1063238,2011,90000,1,14500,0
1062043,2011,68500,1,11700,0
1063228,2011,100000,1,4150,0
1039993,2011,72000,1,15000,0
1063197,2011,70000,1,24000,0
1063069,2011,37000,1,21250,43.53
1063062,2011,75000,1,10000,0
1063199,2011,75000,1,25000,0
1063187,2011,39000,1,4000,0
1063040,2011,60000,1,15000,0
1063020,2011,68000,1,20000,0
1062929,2011,110000,2,15000,0
1063003,2011,40000,1,3600,0
1063001,2011,31000,1,6000,0
1062997,2011,60000,1,15000,654.02
1061315,2011,43000,1,12000,0
1062808,2011,42000,1,12375,0
1062918,2011,30000,1,4000,144.45
1062983,2011,50000,1,13000,0
1061530,2011,39396,1,5000,0
1035958,2011,98000,1,5000,0
1062894,2011,62500,1,26000,0
1062895,2011,95000,1,15000,0
1062976,2011,45000,1,4000,191.14
1061972,2011,32400,1,8000,0
1062897,2011,37800,1,1700,104.03
1062857,2011,50000,1,16000,0
1059828,2011,114996,2,20000,0
1059486,2011,54400,1,12000,0
1062887,2011,72800,1,7000,0
1062851,2011,42500,1,8000,2996.25
1062756,2011,61000,1,13000,0
1062844,2011,28000,1,13000,441.16
1062753,2011,120000,2,20000,0
1062873,2011,96000,1,18000,0
1062860,2011,83200,1,10000,0
1062738,2011,45000,1,22250,0
1062864,2011,68809,1,24000,784.14
1062734,2011,75000,1,11200,488.33
1052370,2011,52000,1,7000,0
1058564,2011,57600,1,8000,0
1062584,2011,48500,1,22500,0
1062253,2011,95000,1,12000,0
1062795,2011,58000,1,22000,0
1062614,2011,24000,1,6200,0
1061378,2011,58000,1,15900,0
1062781,2011,70000,1,5000,0
1023158,2011,104000,2,16000,0
1062654,2011,35000,1,5000,0
1062665,2011,53000,1,3150,0
1062555,2011,28000,1,12000,491.18
1062606,2011,118000,2,28000,1200.06
1062643,2011,40000,1,5000,0
1062535,2011,42000,1,3000,0
1062536,2011,65000,1,3000,0
765927,2011,25000,1,8400,0
1031451,2011,36000,1,7000,0
1062612,2011,45000,1,18550,0
1062510,2011,231252,3,2000,0
1062508,2011,65000,1,12000,0
1036838,2011,32000,1,8575,330.77
1062478,2011,84996,1,28000,365.49
1055974,2011,66000,1,10000,0
1062462,2011,92000,1,25000,0
1062458,2011,70000,1,8000,0
1062454,2011,49000,1,16000,0
1060762,2011,76896,1,25000,0
1062564,2011,24000,1,2000,0
1061570,2011,60000,1,16800,0
1062418,2011,120000,2,8000,0
1062413,2011,57000,1,12000,0
1062330,2011,80000,1,11000,0
1062414,2011,85000,1,5000,0
1060966,2011,140000,2,18000,0
1062401,2011,36000,1,10000,390.09
1057454,2011,70000,1,5000,0
1062179,2011,51360,1,10000,0
1062293,2011,163000,2,25000,0
1062384,2011,59393,1,2400,0
1031348,2011,65000,1,3000,164.81
1062268,2011,29773,1,7700,271.12
1062161,2011,12996,1,2400,0
1062369,2011,68000,1,18500,0
1061409,2011,44475,1,5000,0
1061705,2011,88000,1,14000,0
1062146,2011,85000,1,24500,1353.06
1058699,2011,36000,1,2400,0
1062150,2011,117000,2,1800,0
1062257,2011,160000,2,22200,991.81
1061420,2011,80000,1,21400,0
1062250,2011,28000,1,13000,454.64
1020855,2011,48000,1,8000,0
997521,2011,60000,1,3600,116.22
1058624,2011,40000,1,12375,1482.67
1062232,2011,45500,1,9400,0
1062235,2011,156000,2,9600,0
1060429,2011,40000,1,17000,0
1062102,2011,96000,1,25000,0
1060885,2011,50000,1,16950,0
1060630,2011,80000,1,30000,0
1062192,2011,110000,2,10800,0
1059016,2011,59400,1,6000,0
1056174,2011,106000,2,35000,0
1062045,2011,36000,1,10000,0
1059395,2011,51000,1,15000,0
1062012,2011,25000,1,5000,0
1061941,2011,35000,1,3000,0
1031266,2011,33000,1,7100,0
1061975,2011,93000,1,12000,0
1061914,2011,85000,1,22400,0
1061750,2011,50000,1,5825,0
1061741,2011,41000,1,22250,1121.1
1061747,2011,50000,1,18000,0
1040188,2011,30000,1,6000,0
1057749,2011,57000,1,7650,321.33
1061721,2011,110000,2,21000,0
1061869,2011,50132,1,20675,0
1060650,2011,62500,1,13200,0
1059701,2011,60000,1,12000,0
1061842,2011,130000,2,20000,0
1061837,2011,60000,1,15000,0
1057272,2011,65000,1,27050,0
1061675,2011,67735,1,22500,0
1061661,2011,47800,1,20500,959.01
1061656,2011,99600,1,12800,0
1061776,2011,54000,1,27575,0
1061767,2011,49000,1,7000,0
1052746,2011,33996,1,7600,0
1061643,2011,65000,1,29000,0
1061785,2011,44160,1,10000,0
1061623,2011,32000,1,14125,0
1030795,2011,94500,1,12000,0
1061598,2011,19498,1,9575,0
1061772,2011,30000,1,12000,0
1058931,2011,88000,1,12000,10.94
1061355,2011,45000,1,10000,0
1061593,2011,37500,1,10000,0
1061581,2011,89000,1,25000,0
1061583,2011,120000,2,24000,0
1059572,2011,35000,1,14575,0
1053004,2011,50000,1,9000,0
1061496,2011,30000,1,10000,9.79
1051434,2011,25280,1,7125,0
1058174,2011,29000,1,15000,0
1061547,2011,65000,1,13000,0
1061317,2011,30000,1,12000,0
1061306,2011,68000,1,18000,0
1061515,2011,90000,1,30000,0
1058858,2011,58600,1,21600,1180.28
1051045,2011,50000,1,7600,0
1060415,2011,85000,1,7000,0
1061279,2011,45000,1,7000,0
1058942,2011,44004,1,3600,0
1042958,2011,84996,1,3500,0
1061251,2011,33000,1,5000,0
1058015,2011,60000,1,10000,0
1059858,2011,19200,1,4500,0
1061247,2011,62000,1,12000,0
1061250,2011,38500,1,12000,0
1061245,2011,68000,1,10700,0
1060411,2011,30000,1,6000,0
1061416,2011,50000,1,20000,0
1040053,2011,23000,1,10800,0
1061227,2011,50400,1,25000,0
1061403,2011,110000,2,20000,0
1061413,2011,40000,1,3600,0
1061202,2011,83954,1,6000,0
1061204,2011,35000,1,10375,0
1061380,2011,60000,1,25000,0
1061193,2011,40000,1,10000,0
1051953,2011,42336,1,10000,0
1061194,2011,41100,1,5600,0
1060945,2011,92000,1,6000,0
1057719,2011,75000,1,8000,0
1059906,2011,90000,1,35000,0
1061383,2011,45000,1,10000,0
1050511,2011,48000,1,11000,0
1061175,2011,110000,2,5000,0
1061122,2011,30600,1,6500,0
1061095,2011,69000,1,20000,0
1061164,2011,45000,1,12000,0
1060436,2011,27500,1,8250,1607.65
1061133,2011,150500,2,21000,0
1060855,2011,32000,1,8400,0
1058477,2011,37500,1,7000,0
1060995,2011,60000,1,12000,738.84
1061135,2011,33000,1,7200,204.3
1059939,2011,70000,1,12000,0
1060951,2011,75000,1,12800,0
1046507,2011,16800,1,3050,0
1060880,2011,38000,1,9000,0
1060934,2011,35000,1,10000,694.4
1061128,2011,95000,1,10000,0
1061130,2011,77400,1,10000,850.87
1061126,2011,61000,1,8500,0
1056057,2011,70000,1,35000,0
1060895,2011,67000,1,7200,0
1061106,2011,90000,1,21000,0
1060925,2011,140000,2,27000,0
1045240,2011,55000,1,28625,0
1024951,2011,32400,1,4000,0
1061070,2011,50000,1,7300,0
1061060,2011,70000,1,18000,0
1055190,2011,35000,1,5000,0
1060848,2011,46212,1,6500,0
1053622,2011,43000,1,14100,0
1060865,2011,140000,2,35000,0
1051018,2011,115000,2,10000,0
1059259,2011,45000,1,3000,0
1060853,2011,95000,1,25000,0
1060831,2011,235000,3,28000,0
1058228,2011,36000,1,10000,0
1060841,2011,26000,1,12000,0
1056914,2011,80000,1,10000,0
1060794,2011,50000,1,11000,0
1061003,2011,55000,1,10000,0
1061008,2011,55000,1,5000,0
1060779,2011,64424,1,5000,0
1060993,2011,56000,1,5000,0
1060553,2011,30000,1,6000,159.53
1058200,2011,111740,2,5000,0
1060544,2011,67500,1,20050,0
1060979,2011,41000,1,7000,0
1060698,2011,120000,2,25000,0
1060970,2011,30000,1,3000,130.88
1060760,2011,41500,1,8400,0
1060753,2011,60000,1,24925,0
1060559,2011,75000,1,5000,0
1060696,2011,80000,1,12000,0
1060735,2011,42000,1,12000,0
1060720,2011,41600,1,13200,573.19
1060558,2011,48000,1,6000,0
1060731,2011,50000,1,10000,0
1060536,2011,70000,1,17500,0
1060721,2011,53000,1,6500,0
1060527,2011,65000,1,10000,0
1060714,2011,85000,1,12000,0
1060508,2011,55000,1,10000,0
1059582,2011,36000,1,12375,0
1060481,2011,26000,1,10000,0
1052346,2011,70000,1,20000,0
1054397,2011,80000,1,4400,0
1055294,2011,80000,1,25000,0
1060485,2011,45696,1,14125,0
1060697,2011,100000,1,35000,0
1060670,2011,62000,1,13600,0
1060452,2011,50000,1,20000,0
1051471,2011,66000,1,18000,9114.35
1059954,2011,80000,1,13000,0
1059310,2011,100000,1,35000,0
1055282,2011,123000,2,35000,0
1060631,2011,70000,1,12000,0
1058486,2011,60000,1,7200,0
1060427,2011,150000,2,25000,0
1060418,2011,80000,1,4000,0
1060605,2011,31000,1,7000,0
1060597,2011,90000,1,15000,0
1060600,2011,61600,1,12800,0
1053763,2011,71316,1,35000,0
1060581,2011,42000,1,15000,0
1060372,2011,34000,1,7200,0
1060371,2011,36000,1,13000,0
1060369,2011,65000,1,28000,0
1060365,2011,35000,1,12000,0
1060086,2011,50000,1,16000,894.68
1058493,2011,62004,1,14000,0
1059978,2011,74000,1,11500,0
1059252,2011,42000,1,10500,0
1060167,2011,48000,1,14400,0
1059974,2011,65000,1,16000,0
1060046,2011,15360,1,5375,0
1060030,2011,61000,1,12000,0
1059948,2011,83000,1,12000,549.4
1060036,2011,120000,2,17000,0
1055631,2011,106000,2,30000,0
1060019,2011,42000,1,13000,543.27
1053454,2011,30000,1,7125,276.61
1059930,2011,32000,1,14000,0
1060004,2011,72100,1,8000,0
1060015,2011,58000,1,12500,0
1059936,2011,40000,1,10000,0
1059288,2011,75000,1,12000,0
1052230,2011,48880,1,14000,0
1059996,2011,48000,1,7500,0
1059887,2011,40000,1,19200,0
1010310,2011,110000,2,9000,0
1059889,2011,60000,1,16000,0
1059736,2011,65000,1,20000,0
1059870,2011,50000,1,9000,0
1059874,2011,55000,1,9600,564.81
1032863,2011,63000,1,12000,11349.52
1054178,2011,133224,2,18000,0
1059843,2011,35100,1,1000,0
1057243,2011,38000,1,15000,515.36
1059785,2011,38000,1,12000,0
1059698,2011,41000,1,12000,0
